rname;Wsp_44m;Wsp_44m_stdev;Wdir_41m;ROT;yaw;pa;po;wsn;MyTB_mean;MyTB_stdev;MyTB_min;MyTB_max;MyTB_DEL3;MyTB_DEL6;MyTB_DEL9;MyTB_DEL12;MxTB_mean;MxTB_stdev;MxTB_min;MxTB_max;MxTB_DEL3;MxTB_DEL6;MxTB_DEL9;MxTB_DEL12;MzTT_mean;MzTT_stdev;MzTT_min;MzTT_max;MzTT_DEL3;MzTT_DEL6;MzTT_DEL9;MzTT_DEL12;Myaw_mean;Myaw_stdev;Myaw_min;Myaw_max;Myaw_DEL3;Myaw_DEL6;Myaw_DEL9;Myaw_DEL12;Mtilt_mean;Mtilt_stdev;Mtilt_min;Mtilt_max;Mtilt_DEL3;Mtilt_DEL6;Mtilt_DEL9;Mtilt_DEL12;MzR_mean;MzR_stdev;MzR_min;MzR_max;MzR_DEL3;MzR_DEL6;MzR_DEL9;MzR_DEL12;MyR_mean;MyR_stdev;MyR_min;MyR_max;MyR_DEL3;MyR_DEL6;MyR_DEL9;MyR_DEL12;MxR_mean;MxR_stdev;MxR_min;MxR_max;MxR_DEL3;MxR_DEL6;MxR_DEL9;MxR_DEL12;MyA1_mean;MyA1_stdev;MyA1_min;MyA1_max;MyA1_DEL3;MyA1_DEL6;MyA1_DEL9;MyA1_DEL12;MxA1_mean;MxA1_stdev;MxA1_min;MxA1_max;MxA1_DEL3;MxA1_DEL6;MxA1_DEL9;MxA1_DEL12
-;m/s;m/s;deg;rpm;deg;deg;kW;m/s;kNm;kNm;kNm;kNm;kNm;kNm;kNm;kNm;kNm;kNm;kNm;kNm;kNm;kNm;kNm;kNm;kNm;kNm;kNm;kNm;kNm;kNm;kNm;kNm;kNm;kNm;kNm;kNm;kNm;kNm;kNm;kNm;kNm;kNm;kNm;kNm;kNm;kNm;kNm;kNm;kNm;kNm;kNm;kNm;kNm;kNm;kNm;kNm;kNm;kNm;kNm;kNm;kNm;kNm;kNm;kNm;kNm;kNm;kNm;kNm;kNm;kNm;kNm;kNm;kNm;kNm;kNm;kNm;kNm;kNm;kNm;kNm;kNm;kNm;kNm;kNm;kNm;kNm;kNm;kNm
201703231510;6.67;0.83;352.38;18.4;346.97;-1.66;149.6;5.97;779.819;163.203;352.085;1226.63;265.265;371.606;461.547;528.114;1192.39;262.668;432.532;1806.46;374.578;564.747;717.228;824.782;16.6979;12.7529;-31.2663;65.8275;36.307;45.2492;53.8463;60.4855;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;95.8847;18.6829;50.758;150.783;21.6534;39.1108;51.0117;59.352;-8.87949;87.2153;-219.647;210.839;209.623;253.213;277.55;295.532;3.84785;87.6963;-208.722;214.488;209.815;253.623;278.312;296.571;-49.8537;104.119;-236.288;130.15;231.63;267.19;281.383;289.783;-166.356;44.5723;-299.704;-47.5089;74.425;106.801;134.179;154.376
201703231610;6.63;0.72;2.03;19.28;353.58;-1.75;147.85;6.36;915.229;140.11;370.099;1407.7;233.394;379.602;506.3;598.145;1182.98;224.001;453.585;1893.24;306.31;539.977;721.731;847.304;-1.47572;14.4747;-55.6805;45.2963;37.4318;44.3547;52.2449;59.3985;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;91.6724;17.4496;18.5609;156.176;24.5967;51.4754;70.2917;82.7689;-8.37305;73.061;-194.624;180.445;181.409;216.204;235.69;250.541;5.85198;73.3661;-167.519;202.774;181.36;216.277;236.501;252.486;-46.1231;104.134;-223.928;131.188;231.81;264.952;277.752;284.982;-176.03;44.6228;-378.623;-23.7851;86.0957;136.221;181.726;213.709
201703271630;6.99;0.63;272.35;20.91;265.51;-1.82;214.3;6.87;-1156.01;236.794;-1957.99;-539.426;253.45;504.6;686.959;815.141;932.32;161.196;510.65;1391.61;183.956;328.185;441.148;517.811;-9.92692;10.3328;-54.8373;29.0208;29.755;37.8906;46.0093;52.3746;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;115.605;15.9927;69.9805;157.224;17.8869;34.2948;45.478;53.0371;-10.7547;82.4098;-184.61;149.358;196.328;225.147;238.826;248.318;9.20181;83.9179;-184.844;189.72;198.756;228.394;243.386;255.097;-56.6811;101.397;-227.008;109.994;228.671;257.545;268.46;274.522;-231.128;44.5311;-368.671;-90.0931;60.4584;108.831;144.251;167.971
201703271740;6.64;0.8;272.3;19.58;269.44;-1.74;179.78;6.43;-985.386;239.034;-1663.58;-291.872;275.446;508.037;693.567;818.301;864.687;163.003;274.439;1392.23;237.033;399.744;541.997;643.628;-4.09687;12.8166;-55.0046;39.2342;32.9685;42.6674;52.4992;59.7175;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;104.246;17.4684;62.1485;165.533;19.6847;39.2524;52.9419;62.1791;-10.2016;71.2923;-196.71;151.393;175.881;206.492;222.814;235.305;7.27943;72.3378;-166.986;168.924;176.861;207.271;223.295;235.324;-51.5792;102.355;-226.776;118.277;228.334;260.158;272.325;279.109;-187.725;48.9219;-328.106;-64.0159;69.8662;107.128;138.185;160.102
201703271850;6.15;0.62;266.14;19.12;260.43;-1.7;139.36;6.26;-949.23;227.401;-1502.87;-416.569;268.908;451.016;579.48;664.085;551.712;107.748;274.647;864.296;199.259;269.476;329.33;372.024;-0.564661;11.4785;-55.2781;36.9121;32.7171;42.4368;51.3921;58.1342;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;86.2342;16.3214;12.2568;139.198;20.2317;43.1912;60.5438;72.5494;-9.80755;68.7648;-164.47;143.516;165.285;192.855;206.292;215.923;6.89886;69.4103;-138.145;157.812;167.569;195.181;208.048;216.674;-41.5484;103.564;-223.821;132.096;228.938;261.894;274.569;281.723;-153.966;43.5104;-288.502;-46.4875;67.7725;102.463;129.652;148.596
201703272030;5.82;0.67;264.53;18.62;259.7;-1.73;125.32;6.15;-892.78;162.548;-1330.09;-392.734;239.269;386.459;497.838;573.635;494.963;78.215;196.117;794.124;161.644;237.298;306.062;355.923;2.87072;9.62645;-36.0812;37.5601;28.8669;35.5935;41.5187;46.1329;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;81.4339;15.0996;14.3518;139.728;20.5418;43.1062;60.0457;71.7773;-9.42952;71.9827;-178.793;163.144;168.5;199.99;216.522;228.908;5.61127;72.5102;-165.77;161.002;169.967;201.968;218.318;229.897;-35.5679;103.369;-205.439;128.691;226.256;259.605;272.138;278.927;-148.712;32.2355;-275.614;-63.6218;60.5496;89.4086;113.045;130.284
201703272040;6.01;0.81;265.05;19;259.7;-1.73;136.79;6.25;-944.037;165.883;-1513.82;-440.817;278.937;432.903;557.98;644.07;528.713;83.9567;209.222;817.239;197.646;264.742;324.852;371.264;1.07069;11.9362;-45.8033;49.6443;34.1809;41.4986;49.6881;56.6982;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;86.136;13.9678;35.8839;132.221;19.0002;36.05;47.8833;56.1074;-9.54878;66.2421;-193.856;186.562;164.454;199.916;223.732;244.236;6.23531;66.7252;-137.795;218.558;162.709;195.238;214.442;230.186;-36.9285;103.623;-209.895;133.295;229.516;262.547;275.022;281.841;-158.27;35.403;-291.128;-54.5804;72.8564;99.7108;121.482;138.996
201703272240;6.32;0.45;263.52;19.32;260.84;-1.79;156.92;6.42;-1045.52;172.51;-1634.43;-575.345;214.261;391.261;527.76;620.578;590.895;78.6361;366.077;894.428;140.578;203.909;264.795;309.622;2.55108;8.27096;-30.1776;30.0068;24.8714;30.1716;34.513;37.9672;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;96.6611;13.2749;53.6001;142.907;16.8914;32.5243;43.6148;51.4787;-9.60348;72.7482;-154.373;142.237;167.616;195.888;209.664;219.174;5.84362;73.7097;-132.013;162.42;168.214;196.203;209.57;218.611;-39.1311;102.426;-207.64;127.415;225.649;257.061;268.698;274.896;-180.079;35.1705;-317.788;-98.8021;51.3081;88.317;116.986;135.736
201703291440;8.01;0.82;286.22;22.32;284.23;-1.64;293.07;7.41;-1108.44;257.393;-1968.02;-453.407;352.609;584.848;754.105;879.088;1498.53;237.565;856.04;2192.3;342.446;571.279;718.675;818.116;44.1529;13.0726;-1.92234;95.9519;31.3305;40.0623;49.5515;57.3424;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;147.923;21.0425;92.1696;200.455;22.7973;42.7017;56.1893;65.1581;-11.8989;84.0004;-198.452;172.308;207.422;238.913;255.042;266.431;10.813;85.6087;-172.415;197.803;210.205;241.93;258.005;269.204;-57.7509;101.599;-236.679;122.021;237.552;265.199;276.074;282.469;-282.815;52.141;-452.603;-143.563;71.2249;118.481;157.19;183.933
201703291450;7.96;0.75;286.04;22.3;282.8;-1.84;291.13;7.46;-1153.61;268.684;-1914.72;-326.252;315.407;593.386;791.75;927.187;1464.31;228.482;552.754;2137.5;300.537;578.261;787.493;929.027;40.5769;13.3158;-10.54;81.7407;30.9158;38.7952;47.2324;54.2051;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;145.567;20.4234;84.8301;204.608;22.9666;45.1252;60.4867;70.8979;-13.2043;84.9461;-199.634;156.649;206.945;236.493;251.322;261.98;10.4303;86.1751;-170.926;206.344;208.337;237.86;252.718;263.655;-59.3102;100.89;-232.758;117.784;234.758;261.875;272.381;278.488;-284.617;52.9331;-437.477;-131.163;68.14;117.567;155.519;181.593
