time;ws70;ws44;ws18;wd70;wd41;ROT;PA;PO;NP;wsn;Azi;MxA1;MyA1;MxR;MyR;MzR;MTilt;MYaw;MzTT;MxTB;MyTB
0.057143;16.62;17.057;14.186;291.66;293.99;26.5;10.92;851.6;290.26;11.8;71.806;-366.1;-179.21;0.52144;-63.613;337.79;28.104;-49.772;42.349;1543;-929.5
0.085714;16.62;17.057;14.059;290.37;294.26;26.5;10.92;851.6;290.26;11.8;75.687;-365.63;-182.84;3.0146;-66.124;337.97;27.829;-53.156;42.441;1548.8;-909.55
0.11429;16.883;17.057;14.059;290.37;294.27;26.4;10.92;851.9;290.26;16.5;80.539;-359.52;-185.32;4.9886;-60.622;339.72;23.862;-49.507;43.154;1564.7;-880.91
0.14286;16.883;17.13;14.059;291.14;294.01;26.4;10.92;851.9;290.26;16.5;84.42;-355.06;-188.79;4.0709;-54.694;341.82;18.555;-45.319;43.427;1579.2;-865.26
0.17143;16.883;17.13;14.098;291.14;294.02;26.4;10.92;851.9;290.26;16.5;89.272;-354.42;-189.86;3.7709;-52.496;344.7;14.172;-44.562;42.518;1591.2;-856.76
0.2;16.953;17.13;14.098;290.23;294.25;26.4;10.82;850.3;290.26;16.5;94.124;-354.37;-188.49;1.2429;-48.203;345.91;7.8256;-41.307;40.765;1596.5;-855.33
0.22857;16.953;17.029;14.098;289.58;294.15;26.4;10.82;850.3;290.26;16.5;98.005;-351.81;-185.83;-5.2054;-45.651;345.14;-1.2479;-38.756;43.077;1607.1;-844.99
0.25714;16.953;17.029;14.098;289.58;293.99;26.4;10.82;850.3;290.26;16.5;102.86;-346.61;-182.96;-15.861;-46.04;345.29;-15.112;-37.274;46.58;1612.4;-812.88
0.28571;16.996;17.217;14.245;289.84;293.96;26.4;10.82;850.3;290.26;16.5;107.71;-338.51;-180.83;-26.813;-45.491;345.88;-28.726;-32.752;48.683;1631.7;-789.55
0.31429;16.996;17.217;14.245;289.84;294.26;26.4;10.82;848;290.26;15;111.59;-329.41;-174.96;-36.005;-40.89;346.72;-38.261;-23.582;45.673;1656.4;-787.61
0.34286;16.799;17.217;14.245;288.29;294.78;26.4;10.82;848;290.26;15;116.44;-321.53;-169.69;-44.461;-37.06;348.89;-46.484;-13.503;41.351;1673.9;-794.26
0.37143;16.799;17.043;14.499;288.29;295.08;26.4;10.82;848;290.26;15;120.32;-318.23;-162.99;-51.441;-37.585;351.73;-53.784;-7.7134;37.962;1687.3;-788.33
0.4;16.799;17.043;14.499;288.51;295.08;26.4;10.82;848;290.26;15;125.18;-315.95;-154.04;-59.368;-37.834;353.61;-61.162;0.74244;35.419;1699.6;-776.15
0.42857;16.743;16.943;14.499;289.07;295.06;26.4;10.82;848;290.26;15;130.03;-313.19;-145.41;-63.183;-38.29;355.14;-64.237;7.7816;36.755;1710.8;-762.75
