time;ws70;ws44;ws18;wd70;wd41;ROT;PA;PO;NP;wsn;Azi;MxA1;MyA1;MxR;MyR;MzR;MTilt;MYaw;MzTT;MxTB;MyTB
0.028571;4.5534;4.7018;5.4017;239.73;240.52;16.3;-2.12;117.6;246.11;6.3;25.229;-145.81;-84.12;-48.78;93.712;86.708;-109.05;-3.0765;-13.719;-260.99;-906.89
0.057143;4.5534;4.7018;5.4017;239.73;240.22;16.3;-2.12;117.6;246.11;6.3;28.14;-145.23;-94.397;-56.006;96.509;86.494;-114.57;-2.9937;-12.967;-263.99;-917.42
0.085714;4.5534;4.7018;5.4017;238.09;240.03;16.3;-2.12;117.6;246.11;6.3;31.051;-142.97;-104.15;-65.249;98.945;86.346;-120.93;-4.3072;-12.317;-267.81;-923.05
0.11429;4.5534;4.7018;5.4139;238.09;239.81;16.3;-2.2;117.7;246.11;6.3;33.962;-141.61;-113.57;-74.383;100.38;86.237;-126.79;-5.3658;-11.202;-260.69;-929.18
0.14286;4.5534;4.7018;5.4139;237.05;239.4;16.3;-2.2;117.7;246.11;6.3;36.873;-140.47;-122.87;-84.525;101.99;86.169;-133.74;-6.5789;-10.902;-260.79;-941.87
0.17143;4.5534;4.7018;5.4139;237.38;239.03;16.3;-2.12;117.5;246.11;5.9;39.784;-138.68;-129.78;-92.526;103.01;85.794;-139.4;-5.6784;-10.331;-261.1;-957.32
0.2;4.5534;4.7018;5.4139;237.38;238.45;16.3;-2.12;117.5;246.11;5.9;42.695;-138.59;-134.59;-103.27;102.23;85.934;-145.6;-7.4783;-10.54;-267.5;-971.02
0.22857;4.5534;4.7365;5.4139;237.34;238.08;16.3;-2.12;117.5;246.11;5.9;45.606;-138.44;-136.94;-109.39;98.431;86.33;-147;-7.1709;-9.4878;-262.54;-978.8
0.25714;4.5534;4.7365;5.4139;237.34;236.88;16.3;-2.12;117.5;246.11;5.9;48.518;-138.01;-137.89;-114.51;92.888;87.009;-146.8;-7.2388;-10.24;-262.65;-982.48
0.28571;4.5151;4.7365;5.4139;238.75;237.05;16.3;-2.12;117.5;246.11;5.9;50.458;-137.86;-138.38;-115.96;84.847;87.3;-142.46;-9.0795;-10.28;-252.02;-974
0.31429;4.5151;4.7365;5.4139;238.75;237.08;16.3;-2.12;117.5;246.11;5.9;53.369;-140.6;-140;-118.34;74.098;87.648;-137.52;-11.53;-11.111;-257.9;-955.18
0.34286;4.5151;4.7365;5.2647;238.34;236.94;16.3;-2.12;117.5;246.11;5.9;56.28;-139.47;-140.93;-115.73;65.984;87.446;-130.9;-9.3432;-10.345;-255.22;-942.38
0.37143;4.5151;4.7365;5.2647;234.92;236.95;16.3;-2.12;117.3;246.11;7;59.191;-139.87;-142.13;-113.98;57.997;87.651;-125.19;-8.228;-10.969;-264.4;-939.82
0.4;4.5151;4.7365;5.2647;234.92;236.96;16.3;-2.12;117.1;246.11;7;62.102;-138.06;-144.07;-111.35;51.206;87.669;-119.63;-6.2292;-10.604;-254.08;-938.29
0.42857;4.5151;4.7365;5.2647;237.06;236.97;16.3;-2.12;117.1;246.11;7;65.013;-137.94;-147.66;-111.39;42.886;87.923;-115.78;-7.4345;-11.981;-255.52;-936.97
0.45714;4.5151;4.7365;5.2647;237.06;236.94;16.3;-2.12;117.1;246.11;7;67.925;-135.83;-153.45;-109.62;37.722;87.232;-112.14;-5.3992;-12.123;-247.68;-923.87
0.48571;4.5151;4.7365;5.2647;237.9;236.92;16.3;-2.12;117.1;246.11;7;70.836;-137.51;-160.49;-110.03;30.818;86.597;-109.92;-6.203;-12.719;-248.51;-906.06
0.51429;4.5151;4.6232;5.2647;237.9;236.91;16.3;-2.12;117.1;246.11;7;73.747;-136.27;-167.06;-111.14;27.166;85.751;-109.87;-4.4223;-11.617;-242.01;-890.73
