time;ws70;ws44;ws18;wd70;wd41;ROT;PA;PO;NP;wsn;Azi;MxA1;MyA1;MxR;MyR;MzR;MTilt;MYaw;MzTT;MxTB;MyTB
0.028571;19.007;17.014;15.136;227.13;233.96;26.1;4.58;847.8;238.86;7.5;267.82;-339.6;115.69;-36.156;57.974;345.22;36.479;-61.249;-20.975;229.07;-2331.1
0.057143;18.503;17.014;15.136;229.65;234.44;26.1;4.58;847.8;238.86;7.5;272.67;-346.14;114.3;-24.897;67.353;344.75;20.146;-73.773;-20.727;254.36;-2322.4
0.085714;18.503;17.014;15.08;229.65;230.86;26.1;4.58;847.8;238.86;7.5;277.52;-343.39;108.46;-10.948;87.711;345.72;-1.3041;-94.702;-16.381;285.21;-2314.7
0.11429;18.503;16.83;15.08;228.9;225.57;26.1;4.58;847.8;238.86;7.5;281.4;-341.18;97.118;-3.2145;105.85;345.26;-17.688;-111.41;-5.3994;301.31;-2308.9
0.14286;18.302;16.83;15.08;229.21;221.07;26.1;4.58;837.4;238.86;9.2;286.25;-343.43;81.572;6.1734;119.28;344.15;-39.051;-120.66;5.3331;300.48;-2336.8
0.17143;18.302;16.971;14.805;229.21;219.11;26.1;4.58;837.4;238.86;9.2;290.13;-351.51;65.461;8.9129;126.74;344.28;-51.822;-124.15;8.3833;281.39;-2370.6
0.2;18.536;16.971;14.805;227.5;220;26.1;4.58;837.4;238.85;9.2;294.99;-351.5;52.514;17.174;138.77;342.4;-74.147;-127.63;6.6047;272.21;-2382.9
0.22857;18.536;16.971;14.805;227.5;223.03;26.1;4.58;837.4;238.85;9.2;299.84;-352.8;39.449;20.936;145.09;340.4;-90.806;-124.95;2.3752;286.45;-2364.5
0.25714;18.639;17.173;14.146;227.1;226.9;26.2;4.58;836.9;238.85;11.3;303.72;-360.69;27.836;23.335;139.46;341.29;-98.361;-112.44;-0.88411;300.69;-2380.5
0.28571;18.639;17.173;14.146;227.1;230.92;26.2;4.58;836.9;238.85;11.3;308.57;-372.46;16.272;17.601;121.34;340.39;-92.532;-92.022;-5.8662;290.89;-2430.6
0.31429;18.639;17.395;14.146;226.68;234.23;26.2;4.58;836.9;238.85;11.3;312.45;-387.88;7.1164;9.646;102.01;338.71;-80.316;-75.324;-13.331;247.13;-2486.3
0.34286;18.725;17.395;14.306;225.56;235.8;26.2;4.58;836.9;238.85;11.3;317.3;-402.56;4.5647;-2.6198;77.041;340.38;-60.368;-58.461;-22.039;206.06;-2509.6
0.37143;18.725;17.395;14.306;225.56;233.9;26.1;4.58;842.9;238.85;11.3;322.16;-414.31;3.8647;-17.275;46.568;341.86;-32.635;-43.678;-30.488;185.83;-2515.5
0.4;19.043;17.365;14.306;224.77;230.53;26.1;4.58;842.9;238.85;11.3;326.04;-418.44;5.182;-29.169;19.254;341.94;-6.6776;-33.894;-35.316;195.02;-2511.6
0.42857;19.043;17.365;14.156;224.77;228.14;26.1;4.58;842.9;238.85;11.3;330.89;-427.45;4.7965;-36.714;0.56634;342.14;10.247;-29.285;-38.548;202.04;-2501.2
0.45714;19.261;17.043;14.156;224.14;230.21;26.1;4.49;849.7;238.85;5.9;335.74;-440.2;-0.47328;-37.932;-14.098;339.75;21.217;-24.153;-38.886;162.41;-2524.2
0.48571;19.261;17.043;14.156;224.14;234.7;26.1;4.49;849.7;238.85;5.9;339.62;-447.49;-9.4622;-41.527;-26.94;336.32;32.711;-23.485;-39.872;90.999;-2587.4
0.51429;19.261;17.043;13.599;226.9;234.37;26.1;4.49;849.7;238.85;5.9;344.47;-449.95;-20.066;-48.182;-33.986;337.04;39.478;-30.069;-38.443;8.6502;-2657.8
