time;ws70;ws44;ws18;wd70;wd41;ROT;PA;PO;NP;wsn;Azi;MxA1;MyA1;MxR;MyR;MzR;MTilt;MYaw;MzTT;MxTB;MyTB
0.057143;9.4627;9.9291;8.1466;288.91;205;25.8;-1.12;628.3;288.62;15;224.15;-431.59;3.7461;44.954;-110.49;256.81;-112.47;27.19;23.206;1837.1;-1703
0.085714;9.5895;9.9291;8.1466;290.58;204.97;25.8;-1.12;628.3;288.62;15;229;-445.05;9.2643;61.806;-114.58;257.01;-124.56;27.558;25.802;1830.2;-1690.3
0.11429;9.5895;9.9291;8.1466;290.58;204.84;25.8;-1.21;624.5;288.62;5;232.88;-457.57;11.751;85.874;-119.43;257.93;-143.71;23.716;32.447;1842.6;-1672.8
0.14286;9.5895;9.8252;8.1466;292.56;204.67;25.8;-1.21;624.5;288.62;5;237.74;-465.87;14.931;111.09;-120.93;258.5;-162.38;22.047;37.431;1854.9;-1665.3
0.17143;9.5895;9.8252;8.1466;292.56;204.42;25.8;-1.21;624.5;288.62;5;241.62;-473.56;15.714;132.11;-118.33;259.37;-176.85;19.504;38.21;1852.2;-1677.6
0.2;9.7016;9.8252;8.1466;292.85;203.98;25.8;-1.21;624.5;288.62;5;246.47;-479.93;17.66;144.9;-115.33;260.08;-184.51;25.799;36.977;1836.6;-1689.6
0.22857;9.7016;9.8252;8.0123;292.85;203.82;25.8;-1.21;624.5;288.62;5;250.35;-482.89;16.829;152.91;-109.22;259.5;-187.21;29.418;35.731;1815.9;-1676.4
0.25714;9.7016;9.8252;8.0123;294.03;203.47;25.8;-1.21;621.8;288.62;5;255.2;-482.75;16.919;154.79;-99.236;259.09;-182.6;35.087;33.277;1814.6;-1647.1
0.28571;9.7016;9.6105;8.0123;292.83;203;25.8;-1.21;621.8;288.62;5;259.08;-483.52;19.031;154.2;-91.439;258.89;-177.22;39.989;28.138;1828.7;-1621.6
0.31429;9.7016;9.6105;8.0123;292.83;202.63;25.8;-1.21;621.8;288.62;5;263.94;-480.23;20.497;151.77;-84.161;257.55;-169.52;48.1;25.309;1834.6;-1601.7
