time;ws70;ws44;ws18;wd70;wd41;ROT;PA;PO;NP;wsn;Azi;MxA1;MyA1;MxR;MyR;MzR;MTilt;MYaw;MzTT;MxTB;MyTB
0.04;8.7432;10.389;9.9483;237.91;241.54;26.3;-0.21;668.8;249.28;10.5;43.666;-440.5;-77.456;-10.017;19.1;254.67;-22.22;13.927;-68.425;435.56;-3032
0.06;8.7432;10.389;9.9483;237.91;241.54;26.3;-0.3;667.6;249.28;4.2;47.547;-440.76;-95.382;-12.087;14.424;253.9;-19.254;10.681;-66.31;450.94;-3077.4
0.08;8.7432;10.389;9.9483;237;241.43;26.3;-0.3;667.6;249.28;4.2;50.458;-443.16;-114.7;-13.052;8.6305;254.05;-15.388;6.7858;-62.481;457.44;-3111.1
0.1;8.7432;10.389;9.9483;237;240.2;26.3;-0.3;667.6;249.28;4.2;53.369;-447.61;-133.67;-15.051;4.792;255.6;-14.033;3.3456;-58.393;459.3;-3142.4
0.12;8.7432;10.389;9.9483;240.77;240.2;26.3;-0.3;667.6;249.28;4.2;56.28;-447.91;-151.51;-21.925;2.1706;259.1;-17.668;-2.2315;-55.616;442.58;-3136.8
0.14;8.7432;10.405;9.9483;240.77;238.38;26.3;-0.3;666.1;249.28;4.2;60.162;-445.66;-168.05;-28.24;1.0939;263.47;-22.417;-5.4496;-53.019;427.31;-3126.9
0.16;8.7432;10.405;9.71;240.77;236.37;26.3;-0.3;666.1;249.28;4.2;63.073;-448.22;-182.4;-36.509;0.55083;267.67;-29.47;-9.0315;-50.514;409.77;-3099.3
0.18;8.7432;10.405;9.71;237.35;236.37;26.3;-0.3;666.1;249.28;4.2;65.984;-454.1;-193.46;-48.978;1.5158;271.78;-41.343;-12.548;-49.489;402.75;-3099.7
0.2;8.9305;10.405;9.71;237.35;235.1;26.3;-0.3;666.1;249.28;4.2;68.895;-458.63;-199.24;-62.837;4.8843;275.47;-55.901;-13.287;-49.542;400.17;-3115.9
0.22;8.9305;10.405;9.71;235.06;235.37;26.3;-0.3;666.1;249.28;4.2;72.776;-464.74;-202.2;-74.087;6.6062;276.96;-67.778;-11.959;-51.306;411.62;-3160.6
0.24;8.9305;10.405;9.71;235.06;237.05;26.3;-0.3;666.1;249.28;4.2;75.687;-464.14;-202.53;-78.977;5.7741;275.83;-72.675;-10.836;-53.123;424.62;-3213.8
0.26;8.9305;10.405;9.71;235.06;237.05;26.3;-0.3;665.7;249.28;4.2;78.598;-461.36;-200.86;-80.104;4.0274;272.94;-73.751;-9.1153;-54.292;440.62;-3260.8
0.28;8.9305;10.134;9.3887;229.79;239.04;26.3;-0.3;665.7;249.28;4.2;81.509;-461.96;-194;-77.228;2.1783;271;-70.909;-6.5357;-53.811;454.14;-3286.7
0.3;8.9305;10.134;9.3887;229.79;239.02;26.3;-0.3;665.7;249.28;4.2;85.391;-463.62;-184.61;-71.513;-1.275;270.41;-65.016;-4.2689;-54.149;459.2;-3257.5
0.32;8.9305;10.134;9.3887;236.23;239.02;26.3;-0.3;665.7;249.28;4.2;88.302;-463.97;-173.19;-64.88;-5.7124;270.17;-58.102;-4.7061;-55.174;459.4;-3211.1
0.34;9.0273;10.134;9.3887;236.23;236.03;26.3;-0.3;665.7;249.28;4.2;91.213;-469.02;-159.63;-56.198;-8.4028;270.01;-49.459;-3.9991;-56.809;454.24;-3159.8
0.36;9.0273;10.134;9.3887;236.23;230.73;26.3;-0.3;665.7;249.28;4.2;95.094;-471.56;-144.55;-43.107;-8.0621;271.04;-36.522;-0.52845;-59.886;450.63;-3145.4
0.38;9.0273;10.134;9.3887;240.69;230.73;26.3;-0.3;665.7;249.28;4.2;98.005;-473.46;-133.7;-27.95;-6.1901;273.82;-21.252;2.1624;-63.143;446.61;-3139.2
0.4;9.0273;9.6779;9.3887;240.69;224.91;26.3;-0.3;665.7;249.28;4.2;100.92;-470.2;-127.3;-15.049;-5.458;275.74;-8.2184;2.4346;-65.7;456.72;-3159.2
0.42;9.0273;9.6779;9.4659;241.41;219.78;26.3;-0.3;665.7;249.28;4.2;103.83;-460.74;-123.88;-4.3301;-4.8265;275.56;2.5876;1.6602;-66.491;461.47;-3160.4
0.44;9.0273;9.6779;9.4659;241.41;219.78;26.3;-0.3;665.7;249.28;4.2;107.71;-452.41;-122.75;6.1946;-6.6985;273.84;12.483;-2.8147;-66.829;465.59;-3167
0.46;9.0273;9.6779;9.4659;241.41;216.71;26.3;-0.39;664.1;249.28;3.3;110.62;-452.91;-125.17;10.308;-9.6491;272.32;15.428;-7.4433;-66.53;469.1;-3177.4
0.48;9.0351;9.6779;9.4659;238.15;217.41;26.3;-0.39;664.1;249.28;3.3;113.53;-454.26;-127.27;10.335;-15.402;271.69;13.142;-13.651;-64.117;461.47;-3192.7
0.5;9.0351;9.6779;9.4659;238.15;222.09;26.3;-0.39;664.1;249.28;3.3;116.44;-455.27;-128.31;8.0126;-24.082;270.58;6.9841;-21.447;-58.64;448.46;-3204
0.52;9.0351;9.6779;9.4659;239.36;222.09;26.3;-0.39;662.7;249.28;5.3;120.32;-456.28;-130.93;1.4257;-33.936;269.49;-4.7467;-27.799;-51.345;428.24;-3217.5
0.54;9.0351;9.7235;9.9483;239.36;228.68;26.3;-0.39;662.7;249.28;5.3;123.23;-457.01;-136.15;-8.5411;-43.12;270.58;-19.33;-30.693;-45.389;409.25;-3243.6
0.56;9.0351;9.7235;9.9483;239.36;235.25;26.3;-0.39;662.7;249.28;5.3;126.15;-457.01;-141.6;-14.747;-55.466;274.59;-32.675;-36.843;-42.351;391.6;-3264.1
