time;ws70;ws44;ws18;wd70;wd41;ROT;PA;PO;NP;wsn;Azi;MxA1;MyA1;MxR;MyR;MzR;MTilt;MYaw;MzTT;MxTB;MyTB
0.057143;14.107;11.71;11.53;272.05;274.02;26.4;8.11;856.9;267.25;19.8;169.81;-310.19;-92.106;63.645;-63.314;356.78;-37.332;-81.996;11.446;1124.6;-1516
0.085714;14.107;11.71;11.53;272.05;272.82;26.4;8.11;856.9;267.24;19.8;174.66;-305.12;-83.615;82.198;-69.252;357.08;-46.949;-97.82;20.208;1140.9;-1514.9
0.11429;14.078;11.71;11.53;267.54;271.88;26.4;8.11;856.9;267.22;19.8;178.54;-294.66;-69.855;98.07;-73.996;355.59;-56.647;-110.67;28.423;1116.8;-1506.2
0.14286;14.078;11.991;11.988;270.68;271.43;26.4;8.2;845.8;267.2;16;183.4;-284.63;-51.164;115.44;-74.129;352.59;-65.724;-122.86;34.991;1072.2;-1524
0.17143;14.078;11.991;11.988;270.68;271.02;26.4;8.2;845.8;267.19;16;188.25;-271.58;-29.375;132.61;-68.873;348.58;-71.879;-134.36;39.351;1020.6;-1560.2
0.2;14.039;11.991;11.988;273.17;270.75;26.4;8.2;845.8;267.17;16;192.13;-250.59;-10.24;145.46;-60.947;345.5;-74.758;-143.02;44.828;989.51;-1596.1
0.22857;14.039;12.667;11.988;273.17;270.12;26.4;8.2;845.8;267.16;16;196.98;-241.43;9.3416;156.95;-55.612;344.11;-83.946;-148.57;47.93;989.82;-1625.6
0.25714;14.039;12.667;12.009;272.97;269.84;26.4;8.2;845.8;267.14;16;201.83;-235.99;26.021;172.14;-54.293;343.35;-99.582;-155.81;49.709;988.68;-1633
0.28571;14.039;12.667;12.009;272.02;271.5;26.4;8.2;845.8;267.13;16;205.71;-230.19;39.769;186.5;-56.733;340.29;-117.46;-161.16;53.576;970.52;-1637.9
0.31429;13.83;12.667;12.009;272.02;274.77;26.4;8.2;845.8;267.12;16;210.57;-233.66;51.061;191.6;-64.749;334.91;-140.12;-151.65;56.224;926.15;-1665.8
0.34286;13.83;12.73;11.953;268.89;278.01;26.4;8.2;835.9;267.11;16;214.45;-241.16;57.647;195.62;-70.833;331.95;-157.34;-142.21;57.055;886.83;-1705
0.37143;13.83;12.73;11.953;268.89;279.87;26.4;8.2;835.9;267.1;16;219.3;-243.29;60.531;202.63;-71.998;331.13;-173.8;-133.45;55.133;874.24;-1725.2
0.4;13.737;12.73;11.953;269.94;278.9;26.3;8.2;834.6;267.09;16;224.15;-246.09;58.537;205.49;-69.358;331.81;-184.28;-122.16;50.19;869.91;-1723.9
0.42857;13.737;12.651;11.953;269.94;276.78;26.3;8.2;834.6;267.07;16;228.03;-252.23;54.419;198.21;-66.034;334.46;-184.69;-106.47;42.96;852.67;-1719.2
0.45714;13.737;12.651;11.891;269.34;274.54;26.2;8.2;838.7;267.07;11.2;232.88;-250.04;53.577;187.54;-50.135;335.93;-174.52;-95.395;33.836;803.86;-1711
0.48571;13.774;12.651;11.891;269.34;272.58;26.2;8.2;838.7;267.06;11.2;236.77;-241.67;51.149;168.51;-34.899;333.24;-156.21;-83.935;26.009;741.84;-1700.3
0.51429;13.774;12.651;11.891;272.08;271.56;26.2;8.2;838.7;267.05;11.2;241.62;-243.62;49.292;141.71;-32.316;331.46;-138.76;-58.212;17.379;686.01;-1684.4
0.54286;13.774;12.762;11.891;272.22;271.86;26.3;8.2;844.5;267.05;11.2;246.47;-251.59;51.595;114.61;-31.709;331.9;-118.89;-34.234;9.2787;664.96;-1658.4
0.57143;13.608;12.762;11.802;272.22;273.22;26.3;8.2;844.5;267.03;11.2;250.35;-263.51;55.338;95.806;-34.733;332.61;-104.94;-15.767;-2.3892;658.77;-1633.1
0.6;13.608;12.762;11.802;271.17;275.4;26.3;8.11;853.2;267.03;9.6;255.2;-276.53;61.183;86.659;-43.068;335.63;-99.946;4.0138;-12.343;641.13;-1612
0.62857;13.608;12.714;11.802;271.17;277.14;26.3;8.11;853.2;267.02;9.6;260.05;-294.26;69.134;84.706;-57.952;340.66;-100.97;27.366;-20.534;604.29;-1611.7
0.65714;13.783;12.714;12.002;270.86;277.86;26.3;8.11;853.2;267.02;9.6;263.94;-312.34;78.776;87.271;-74.194;342.65;-104.27;49.672;-28.723;564.97;-1635.7
0.68571;13.783;12.714;12.002;270.86;277.2;26.3;8.11;853.2;267.01;9.6;268.79;-331.23;90.466;93.14;-86.183;343;-106.65;69.707;-34.512;542.16;-1646.5
0.71429;13.783;12.714;12.002;272.88;276.21;26.3;8.11;853.2;267.01;9.6;272.67;-346.3;101.98;101.83;-91.293;343.78;-110.5;81.658;-39.469;536.49;-1630.5
0.74286;13.783;12.915;12.002;272.74;275.77;26.3;8.01;856.3;267;9.6;277.52;-351.31;111.7;107.36;-81.124;343.74;-109.33;80.89;-42.831;542.16;-1605.6
0.77143;13.755;12.915;12.123;272.74;276.67;26.3;8.01;856.3;266.99;9.6;281.4;-342.17;116.66;108;-61.918;343.7;-106.67;69.136;-42.884;540.41;-1599.6
0.8;13.755;12.915;12.123;272.38;278.16;26.3;8.01;856.3;266.98;9.6;286.25;-331.85;119.39;105.27;-38.163;345.29;-102.79;54.115;-35.524;515.74;-1614.2
0.82857;13.755;13.131;12.123;272.38;279.16;26.3;8.01;856.3;266.96;9.6;291.11;-319.86;117.2;96.684;-11.465;346.36;-97.433;34.572;-23.532;487.68;-1653.4
0.85714;13.896;13.131;12.123;275.73;278.84;26.3;8.01;856.3;266.94;9.6;294.99;-307.11;111.27;73.635;20.059;344.77;-84.574;3.4176;-13.862;469.62;-1687.1
0.88571;13.896;13.131;12.402;274.42;276.92;26.3;8.01;856.3;266.92;9.6;299.84;-294.8;99.657;48.921;51.895;342.94;-75.545;-28.852;-2.8038;481.48;-1694.3
0.91429;13.896;13.098;12.402;274.42;274.1;26.3;8.01;856.3;266.9;9.6;303.72;-287.79;80.592;35.624;76.14;340.78;-77.748;-51.32;8.6046;492.94;-1669.5
0.94286;14.185;13.098;12.402;271.13;271.35;26.3;8.01;852.8;266.88;11;308.57;-279.63;59.439;27.294;93.192;336.65;-84.594;-63.333;18.572;502.85;-1669.9
0.97143;14.185;13.098;12.655;271.13;269.94;26.3;8.01;852.8;266.87;11;313.42;-277.82;37.876;15.554;100.74;332.74;-85.351;-69.233;20.544;533.7;-1713.5
1;14.185;13.098;12.655;278.07;270.43;26.3;8.01;844.6;266.85;10.3;317.3;-282.55;23.41;-1.9467;103.97;331.08;-79.293;-77.628;18.534;566.83;-1762.3
1.0286;14.345;13.148;12.655;278.07;271.76;26.3;8.01;844.6;266.84;10.3;322.16;-288.2;11.572;-17.66;105.93;330.52;-76.534;-83.645;18.78;617.6;-1768.3
1.0571;14.345;13.148;12.679;276.82;272.81;26.3;7.92;839;266.82;10.3;326.04;-281.97;-1.2976;-24.803;112.03;329.73;-82.416;-87.654;17.365;660.63;-1751.4
1.0857;14.345;13.148;12.679;275.2;273.73;26.3;7.92;839;266.81;10.3;330.89;-275.12;-7.9196;-27.438;121.53;328.49;-96.037;-87.776;19.246;715.42;-1728.1
1.1143;14.457;13.452;12.679;275.2;274.75;26.3;7.92;839;266.8;10.3;334.77;-268.09;-10.815;-22.615;131.15;325.75;-112.51;-81.585;21.077;768.78;-1735.8
1.1429;14.457;13.452;12.679;273.41;275.66;26.2;7.84;838.4;266.79;10.3;339.62;-265.87;-3.9145;-13.862;137.71;322.39;-128.6;-66.526;22.737;825.12;-1768.6
1.1714;14.457;13.452;12.57;273.41;276.02;26.2;7.84;838.4;266.78;10.3;343.5;-269.08;5.7928;-13.308;141.96;322.34;-136.99;-58.646;19.246;890.65;-1798.1
1.2;14.437;13.678;12.57;271.98;275.91;26.2;7.75;840.5;266.77;13.7;348.36;-275.21;8.9019;-21.709;140.26;326.32;-137.54;-54.473;11.94;964.54;-1799.3
1.2286;14.437;13.678;12.57;271.98;275.76;26.2;7.75;840.5;266.76;13.7;353.21;-282.03;6.4992;-28.871;138.68;332.13;-138.75;-49.38;4.5283;1025.6;-1777.8
1.2571;14.437;13.678;12.531;277.42;275.67;26.2;7.75;840.5;266.75;13.7;357.09;-293.7;-2.9588;-28.513;135.83;337.85;-138.99;-39.172;1.0634;1046.2;-1745.7
1.2857;14.078;13.488;12.531;277.42;275.52;26.2;7.75;840.5;266.74;13.7;2.9111;-310.89;-11.213;-22.09;135.41;341.72;-141.95;-18.44;-0.027046;1059.8;-1732.4
1.3143;14.078;13.488;12.531;276.15;275.71;26.2;7.75;840.5;266.73;13.7;6.7925;-324.15;-23.941;-15.738;133.38;342.76;-140.55;-2.5382;-5.1538;1075.5;-1731.2
1.3429;14.078;13.488;12.531;278.08;275.86;26.1;7.56;846;266.72;13.7;11.644;-326.77;-43.219;-12.312;135.02;342.89;-141.44;12.971;-11.319;1129;-1739.2
1.3714;13.981;13.614;12.402;278.08;275.81;26.1;7.56;846;266.72;13.7;15.526;-328.13;-68.775;-6.9194;136.51;344.35;-140.63;28.096;-18.665;1202.5;-1739.9
1.4;13.981;13.614;12.402;276.52;276.08;26.1;7.56;846;266.71;13.7;20.377;-326.11;-100.37;3.2147;142.21;346.32;-140.39;51.216;-27.425;1261.9;-1753.2
1.4286;13.981;13.614;12.402;276.52;277.74;26.1;7.56;846;266.7;13.7;24.259;-320.04;-127.62;16.889;150.94;347.15;-140.08;76.447;-34.733;1280.9;-1766.6
1.4571;13.915;13.614;12.493;272.27;280.52;26.1;7.56;846;266.69;13.7;29.111;-316.73;-147.51;19.984;159.25;345.79;-139.33;94.337;-42.365;1263.3;-1767.7
1.4857;13.915;13.845;12.493;272.27;282.96;26.1;7.56;846;266.69;13.7;32.992;-319.56;-164.25;12.22;158.18;344.92;-135.44;96.237;-47.361;1268.4;-1753.7
1.5143;13.915;13.845;12.493;273.42;283.81;26.1;7.56;846;266.68;13.7;37.844;-324.4;-177.28;1.4892;146.01;344.55;-122.65;91.663;-51.437;1300.4;-1738.6
