time;ws70;ws44;ws18;wd70;wd41;ROT;PA;PO;NP;wsn;Azi;MxA1;MyA1;MxR;MyR;MzR;MTilt;MYaw;MzTT;MxTB;MyTB
0.057143;11.963;10.989;11.351;233.81;234.1;25.9;0.14;855.6;244;12.9;329.92;-495.71;-28.088;123.36;31.632;336.96;-104.89;85.862;-72.32;161.48;-2882.5
0.085714;11.963;10.989;11.351;233.81;234.13;25.9;0.14;855.6;244;12.9;333.8;-492.42;-16.695;114.9;40.881;336.73;-102.55;80.796;-71.93;232.79;-2895.9
0.11429;12.047;10.989;11.351;232.85;234;25.9;0.05;856.3;244;11.7;338.65;-488.31;-9.5873;100.74;49.542;335.75;-97.091;72.677;-68.374;252.91;-2931.1
0.14286;12.047;10.989;11.351;232.21;233.95;25.9;0.05;856.3;244;11.7;342.53;-481.6;-12.192;84.227;61.945;334.26;-97.412;59.162;-60.443;225.87;-2985.8
0.17143;12.047;10.942;11.314;232.21;231.76;25.9;0.05;856.3;244;11.7;347.39;-469.43;-21.959;68.32;74.042;333.87;-99.07;48.475;-51.461;212.46;-3027.5
0.2;12.047;10.942;11.314;232.72;228.24;25.9;0.05;855.8;244;11.7;351.27;-459.52;-40.293;55.573;84.358;335.62;-102.79;40.35;-45.829;234.03;-3066.2
0.22857;12.04;10.942;11.314;232.72;233.52;25.9;0.05;855.8;244;11.7;356.12;-458.49;-61.251;38.792;90.068;338.03;-102.33;31.488;-44.427;293.57;-3107.1
0.25714;12.04;10.942;11.24;232.02;229.9;25.9;0.05;855.8;244;11.7;0;-459.52;-82.067;24.174;94.487;339.05;-103.33;23.446;-44.648;328.96;-3160.9
0.28571;12.04;11.078;11.24;230.49;191.98;25.9;0.05;855.8;244;11.7;4.8518;-460.88;-108.04;12.474;99.35;337.76;-105.99;20.466;-43.246;318.44;-3219.8
0.31429;12.04;11.078;11.24;230.49;231;25.8;-0.03;851.6;244;10.1;9.7035;-461.86;-136.26;-0.97715;106.63;335.24;-112.44;16.681;-40.872;276.75;-3268.6
0.34286;11.949;11.078;11.24;233.77;234.35;25.8;-0.03;851.6;244;10.1;13.585;-462.04;-165.08;-13.849;113.86;332.66;-120.31;12.75;-35.731;250.33;-3297.8
0.37143;11.949;11.078;11.07;233.77;232.53;25.8;-0.12;848.1;244;11;18.437;-462.81;-184.27;-25.268;119.67;331.1;-127.25;13.254;-31.059;262.82;-3320.8
0.4;11.949;11.036;11.07;233.19;233.55;25.8;-0.12;848.1;244;11;22.318;-463.08;-191.41;-33.95;125.63;330.29;-134.44;15.456;-32.914;298.63;-3358.3
0.42857;11.977;11.036;11.07;233.19;233.73;25.8;-0.12;848.1;244;11;27.17;-464.24;-192.57;-42.563;127.89;329.69;-138.1;19.731;-38.574;328.65;-3406.1
0.45714;11.977;11.036;11.07;231.14;233.76;25.8;-0.12;848.1;244;11;31.051;-459.78;-189.55;-49.603;132.7;328.5;-143.93;24.936;-44.35;317.3;-3448.1
0.48571;11.977;11.036;11.017;231.14;233.06;25.8;-0.12;848.1;244;11;35.903;-456.57;-185.96;-50.754;139.29;326.29;-147.51;39.52;-47.659;277.88;-3461.6
0.51429;11.977;10.995;11.017;231.08;234.27;25.8;-0.12;848.1;244;11;39.784;-451.2;-179.43;-55.248;143.69;324.71;-150.7;48.33;-50.373;246.51;-3461.8
0.54286;11.866;10.995;11.017;231.45;234.16;25.8;-0.12;848.1;244;11;44.636;-450.31;-170.47;-60.709;141.9;325.76;-148.26;55.588;-52.54;239.8;-3464.9
0.57143;11.866;10.995;11.017;231.45;233.52;25.8;-0.12;848.1;244;11;49.488;-449.56;-162.44;-62.733;138.04;328.57;-141.75;63.76;-55.823;252.29;-3473.5
0.6;11.866;10.995;11.118;232.12;233.66;25.8;-0.12;844.4;244;11;53.369;-451.02;-160.34;-60.905;130.66;331.45;-130.91;68.806;-60.184;246.41;-3484.5
0.62857;11.866;11.108;11.118;232.12;233.36;25.8;-0.12;844.4;244;11;58.221;-450.04;-168.81;-55.298;123.25;333.69;-115.73;76.91;-61.91;215.04;-3488.3
0.65714;11.771;11.108;11.118;232.84;233.54;25.8;-0.21;841.6;244;12.4;62.102;-454.01;-183.75;-51.999;110.94;334.75;-100.94;75.878;-62.702;162.82;-3480.1
0.68571;11.771;11.108;11.118;232.84;231.9;25.8;-0.21;841.6;244;12.4;66.954;-457.38;-201.04;-49.882;97.156;335.16;-85.991;72.846;-60.884;113.6;-3460.3
0.71429;11.771;11.108;11.118;232.29;223.67;25.8;-0.3;837.9;244;12.4;70.836;-462.17;-217.24;-50.629;82.149;334.92;-75.621;64.418;-58.6;80.681;-3450.5
0.74286;11.671;11.372;11.118;232.67;234.68;25.8;-0.3;837.9;244;12.4;75.687;-463.97;-234.13;-52.645;67.581;334.55;-67.213;56.124;-55.045;60.351;-3449.8
0.77143;11.671;11.372;11.118;232.67;234.8;25.8;-0.3;832;244;12.4;79.569;-464.16;-253.88;-57.298;59.035;333.37;-65.62;51.105;-52.228;48.071;-3454.2
0.8;11.671;11.372;11.118;233.1;234.8;25.8;-0.3;832;244;12.4;84.42;-460.07;-271.6;-61.009;53.625;331.81;-63.811;50.515;-50.956;23.201;-3456.7
0.82857;11.671;11.372;11.076;233.1;234.89;25.8;-0.3;832;244;12.4;89.272;-458.25;-283.68;-64.528;44.363;329.73;-62.037;46.206;-50.852;-3.6296;-3459.4
0.85714;11.637;11.545;11.076;233.2;235.35;25.9;-0.3;828.1;244;11.3;93.154;-456.93;-285.83;-65.961;31.374;327.41;-59.985;37.288;-50.256;-34.691;-3445.8
0.88571;11.637;11.545;11.076;233.2;235.97;25.9;-0.3;828.1;244;11.3;98.005;-457.42;-279.45;-67.186;15.048;326.18;-58.951;26.023;-45.492;-58.012;-3409.6
0.91429;11.637;11.545;11.076;233.23;236.46;25.9;-0.3;828.1;244;11.3;101.89;-458.81;-269.49;-65.54;-1.1343;325.85;-57.615;13.698;-39.314;-81.747;-3365.5
0.94286;11.637;11.545;11.023;232.66;236.84;25.9;-0.3;828.1;244;11.3;106.74;-462.46;-258.57;-60.863;-19.283;326.44;-55.658;-0.21011;-32.838;-112.29;-3331.8
0.97143;11.618;11.545;11.023;232.66;236.96;25.9;-0.3;828.1;244;11.3;110.62;-463.66;-246.13;-57.418;-36.021;327.73;-57.001;-13.469;-26.335;-142.94;-3309.5
1;11.618;11.545;11.023;232.29;236.49;25.9;-0.3;828.1;244;11.3;115.47;-467.21;-230.43;-55.086;-53.962;328.84;-62.302;-26.157;-20.779;-167.91;-3290.6
1.0286;11.618;11.545;11.023;232.29;236.22;25.9;-0.3;828.1;244;11.3;119.35;-475.55;-213.22;-56.677;-72.44;329.53;-73.252;-37.913;-15.031;-179.37;-3274.8
1.0571;11.618;11.474;11.011;231.7;235.59;25.8;-0.39;826;244;8.2;124.2;-481.24;-199.23;-61.342;-88.086;330.11;-88.079;-42.777;-10.085;-184.63;-3248.4
1.0857;11.677;11.474;11.011;231.7;234.77;25.8;-0.39;824.5;244;8.2;128.09;-484.62;-192.06;-69.466;-103.05;330.22;-105.88;-44.586;-6.2042;-191.44;-3210
1.1143;11.677;11.474;11.011;233.68;234.03;25.8;-0.39;824.5;244;8.2;132.94;-484.9;-193.06;-73.577;-112.96;329.74;-118.68;-40.613;-9.4095;-202.07;-3172.9
1.1429;11.677;11.474;11.011;232;233.67;25.8;-0.39;824.5;244;8.2;137.79;-483.53;-195.95;-75.689;-114.94;329.12;-124.59;-30.402;-15.174;-202.28;-3150.8
1.1714;11.697;11.41;10.987;232;233.33;25.8;-0.39;824.5;244;8.2;141.67;-480.2;-197.91;-79.685;-110.48;328.39;-125.76;-15.936;-22.013;-178.13;-3125.8
1.2;11.697;11.41;10.987;232.66;234.73;25.7;-0.49;821.3;244;6.9;146.52;-481.7;-202.55;-89.225;-108.21;327.93;-130.68;3.703;-30.761;-145.11;-3079.7
1.2286;11.697;11.41;10.987;232.66;236.16;25.7;-0.49;821.3;244;6.9;150.4;-485.24;-207.99;-99.838;-111.45;328.09;-138.72;19.569;-38.781;-112.4;-3023.1
1.2571;11.697;11.41;10.987;231.43;237.16;25.7;-0.49;821.3;244;6.9;155.26;-488.62;-214.62;-107.74;-115.48;328.36;-143.9;36.217;-44.882;-105.28;-2980.5
1.2857;11.657;11.435;10.803;231.43;237.17;25.7;-0.49;821.3;244;6.9;159.14;-489.9;-215.93;-110.6;-120.16;329.09;-146.57;46.481;-49.268;-103.42;-2954.6
1.3143;11.657;11.435;10.803;234.02;236.79;25.8;-0.49;817.1;244;6.9;163.99;-490.47;-208.51;-108.29;-125.74;330.51;-146.57;54.631;-53.111;-94.749;-2932.1
1.3429;11.657;11.435;10.803;231.67;236.26;25.8;-0.49;817.1;244;6.9;167.87;-488.6;-193.78;-106.77;-129.82;331.82;-146.02;61.826;-54.123;-79.993;-2909
1.3714;11.657;11.435;10.803;231.67;235.79;25.8;-0.49;813.7;244;13.5;172.72;-489.97;-172.28;-103.88;-131.61;332.66;-141.45;70.767;-54.409;-47.9;-2877.4
1.4;11.818;11.397;10.713;233.87;235.48;25.8;-0.49;813.7;244;13.5;177.57;-491.16;-149;-96.535;-134.33;332.65;-136.82;74.87;-55.876;-30.357;-2849.8
1.4286;11.818;11.397;10.713;233.87;235.17;25.8;-0.49;813.7;244;13.5;181.46;-487.64;-123.61;-85.845;-137.05;331.55;-133.67;73.155;-56.588;-23.132;-2813.8
1.4571;11.818;11.397;10.713;232.05;234.85;25.8;-0.49;813.7;244;13.5;186.31;-480.89;-96.509;-70.974;-138.29;329.66;-128.82;69.387;-56.771;-26.229;-2794
1.4857;11.818;11.385;10.713;232.05;234.76;25.8;-0.49;813.7;244;13.5;190.19;-475.23;-67.724;-51.914;-130.71;328.33;-118.3;58.19;-53.188;-25.094;-2795.4
1.5143;11.697;11.385;10.696;232.97;234.94;25.7;-0.49;811.8;244;13.5;195.04;-466.39;-41.534;-30.622;-119.42;327.48;-105.91;44.939;-46.375;-11.988;-2810.3
1.5429;11.697;11.385;10.696;232.87;235.1;25.7;-0.49;811.8;244;13.5;198.92;-456.13;-24.457;-13.531;-104.24;325.77;-92.329;31.602;-38.067;11.541;-2818.2
1.5714;11.697;11.385;10.696;232.87;235.1;25.7;-0.49;811.8;244;13.5;203.77;-449.96;-15.159;1.3929;-91.179;324.24;-82.051;20.847;-33.252;37.441;-2817
1.6;11.684;11.162;10.696;232.87;235.09;25.7;-0.49;811.8;244;13.5;207.65;-443.23;-12.91;15.856;-79.72;322.66;-75.726;8.5162;-31.021;60.764;-2799.9
1.6286;11.684;11.162;10.696;232.87;235.25;25.7;-0.49;811.8;244;13.5;212.51;-436.52;-16.275;28.643;-73.484;321.23;-75.332;0.67624;-28.606;85.323;-2786.9
1.6571;11.684;11.162;10.581;233.89;235.3;25.8;-0.57;807.7;244;13.5;216.39;-433.36;-22.624;42.953;-69.433;320.94;-79.334;-8.4875;-27.646;109.16;-2799.2
1.6857;11.684;11.162;10.581;233.89;235.33;25.8;-0.57;805.8;244;10.3;221.24;-432.54;-32.331;58.645;-68.489;321.24;-88.49;-14.826;-24.246;129.28;-2849.6
1.7143;11.684;11.03;10.581;232.86;235.34;25.8;-0.57;805.8;244;10.3;226.09;-431.55;-41.285;72.258;-67.467;321.64;-97.773;-18.09;-21.441;143.11;-2908.6
