"name","Cup116m_Mean","Cup116m_Stdv","Cup116m_Min","Cup116m_Max","Cup114m_Mean","Cup114m_Stdv","Cup114m_Min","Cup114m_Max","Cup100m_Mean","Cup100m_Stdv","Cup100m_Min","Cup100m_Max","Vane100m_Mean","Vane100m_Stdv","Vane100m_Min","Vane100m_Max","Temp100m_Mean","Temp100m_Stdv","Temp100m_Min","Temp100m_Max","Sonic100m_Scalar_Mean","Sonic100m_Scalar_Stdv","Sonic100m_Scalar_Min","Sonic100m_Scalar_Max","Sonic100m_Dir","Sonic100m_Vector_Mean","Spd","Spd_stdv","Spd_min","Spd_max","Dir","Dir_stdv","W","W_stdv","Available","CNR","Broad"
"201510270350","8.33729","0.143397","7.71978","8.77245","8.10267","0.146211","7.60659","8.65619","7.45346","0.186257","6.87351","8.07508","148.831","1.87539","142.726","154.896","6.95364","0.0335275","6.86832","7.00088","7.72325","0.20771","6.97215","8.56988","150.496","7.71927","7.38","0.13","7.05","7.84","146.7","1.59623","0.09","0.06","100","-10.4434","1.05"
"201510270400","8.52736","0.163021","8.04677","9.05187","8.29493","0.173611","7.78519","8.79194","7.62518","0.19628","6.86903","8.27706","148.491","1.22467","143.757","152.644","7.02607","0.0434246","6.9284","7.09777","7.88304","0.202728","7.02387","8.6007","150.205","7.88103","7.61","0.15","7.22","7.96","146.5","0.912619","0.03","0.06","100","-10.4621","1.06"
"201510270410","8.2306","0.155438","7.73405","8.76875","7.98181","0.149389","7.23588","8.52118","7.34918","0.179682","6.76765","7.89789","148.131","1.28166","143.506","152.712","6.97248","0.0395144","6.90837","7.03159","7.57664","0.199202","6.86863","8.32772","149.964","7.5745","7.3","0.14","6.97","7.59","146.1","0.882481","0.02","0.06","100","-10.3591","1.04"
"201510270420","8.37922","0.199895","7.66044","8.89272","8.13736","0.19653","7.57626","8.68882","7.4321","0.227051","6.73955","8.13809","147.59","1.51309","141.12","152.409","6.92354","0.0342267","6.87042","6.99745","7.67054","0.241534","6.80895","8.52364","149.285","7.66742","7.37","0.17","6.9","7.82","145.2","0.968136","0.09","0.07","100","-10.2435","1.06"
"201510270430","8.357","0.15316","7.80038","8.87371","8.1104","0.158614","7.50826","8.73639","7.34565","0.23441","6.33026","8.04395","146.914","1.67107","140.157","152.538","6.90666","0.0293207","6.84333","6.95453","7.58125","0.262287","6.45447","8.3765","148.614","7.57761","7.28","0.18","6.57","7.7","144.8","1.04346","0.11","0.07","100","-10.1661","1.05"
"201510270440","8.24434","0.147388","7.71693","8.71356","8.03089","0.137969","7.33208","8.52468","7.40759","0.194485","6.70957","7.98242","144.403","1.67277","137.844","151.371","6.80056","0.0539845","6.74148","6.93813","7.62192","0.222597","6.62193","8.36005","145.909","7.61792","7.26","0.16","6.83","7.66","142","1.24171","0.13","0.06","100","-9.85994","1.05"
"201510270450","8.37223","0.12026","7.9186","8.72454","8.20416","0.128937","7.75915","8.5917","7.61903","0.214809","6.9483","8.29023","144.864","1.23664","138.619","149.251","6.97856","0.114872","6.8172","7.13649","7.8503","0.234683","7.0241","8.74721","146.355","7.84771","7.51","0.19","7.01","7.9","142.5","0.925873","0.14","0.05","100","-9.83327","1.05"
"201510270500","8.48349","0.11293","8.11247","8.83969","8.38874","0.10896","7.93925","8.75852","8.00414","0.151146","7.45878","8.48625","144.713","1.59196","139.175","149.723","7.15834","0.0294055","7.09758","7.22213","8.24645","0.170883","7.43802","8.77575","146.162","8.24224","7.94","0.12","7.51","8.26","142.4","1.26231","0.04","0.06","100","-9.88267","1.05"
"201510270510","8.45957","0.150648","8.02668","8.91949","8.36364","0.170284","7.74189","8.79941","7.92116","0.217648","7.25255","8.48625","144.44","1.4116","138.8","149.589","7.17705","0.03393","7.09301","7.22213","8.13558","0.229052","7.34809","8.80332","145.825","8.13201","7.82","0.2","7.32","8.26","142.3","1.04778","0.03","0.06","100","-10.0226","1.04"
"201510270520","8.55792","0.1671","8.09359","9.01252","8.37234","0.176559","7.85257","8.85201","7.84234","0.183598","7.19296","8.33335","143.929","1.4339","138.946","149.22","7.13322","0.0217069","7.0951","7.1878","8.05868","0.207704","7.3031","8.75874","145.327","8.05522","7.73","0.18","7.25","8.14","141.6","1.14583","0.09","0.06","100","-10.0248","1.04"
"201510270530","8.8165","0.152797","8.24073","9.32493","8.64489","0.155949","8.00019","9.11295","8.11792","0.164989","7.56924","8.63068","143.782","1.18784","138.938","148.043","7.04596","0.0433958","6.93012","7.11742","8.34025","0.193521","7.49486","9.09982","145.132","8.33749","8.07","0.15","7.61","8.42","141.7","0.869732","0.01","0.06","100","-9.98236","1.05"
"201510270540","8.81677","0.13836","8.43089","9.4012","8.641","0.149285","8.11234","9.10894","8.0911","0.180212","7.39826","8.59854","143.407","1.69238","137.689","149.512","7.00738","0.0415267","6.93088","7.07374","8.31818","0.194399","7.54944","8.99744","144.727","8.31327","8.05","0.15","7.64","8.42","141.1","1.2302","0.05","0.07","100","-10.0362","1.05"
"201510270550","8.72945","0.151871","8.23422","9.28727","8.54766","0.160357","8.03102","9.21031","8.0335","0.17381","7.39565","8.58434","140.037","1.44043","134.843","145.192","6.93804","0.01981","6.8996","6.98257","8.23553","0.189802","7.48637","8.89634","141.268","8.23179","7.95","0.15","7.45","8.31","138.3","1.12297","0.09","0.07","100","-9.97233","1.04"
"201510270600","8.87149","0.163566","8.33636","9.5049","8.68597","0.1516","8.10603","9.26808","8.15418","0.172551","7.59394","8.76172","139.649","1.95971","133.512","145.927","7.04401","0.0994882","6.90761","7.2002","8.36387","0.191879","7.72449","9.08155","140.909","8.35772","8.05","0.13","7.68","8.36","137.7","1.54156","0.1","0.07","100","-9.88369","1.04"
"201510270610","9.0165","0.179799","8.36651","9.59759","8.80587","0.165673","8.10287","9.29725","8.18331","0.205087","7.43234","8.85137","142.649","1.88591","137.536","149.427","7.21916","0.0492203","7.12677","7.33295","8.40264","0.22255","7.56902","9.23455","144.02","8.3967","8.08","0.14","7.59","8.53","140.5","1.43105","0.03","0.07","100","-10.0173","1.04"
"201510270620","9.24396","0.155933","8.59463","9.79793","8.99883","0.164585","8.29999","9.48936","8.3079","0.169021","7.72568","8.95065","144.749","1.36539","138.61","150.951","7.33065","0.033796","7.24083","7.40543","8.53117","0.200264","7.79529","9.25182","146.155","8.52744","8.18","0.11","7.87","8.47","142.3","0.920688","-0.01","0.07","100","-10.1799","1.05"
"201510270630","9.26281","0.158745","8.60536","9.7241","9.02385","0.157393","8.47598","9.55521","8.38649","0.190731","7.59119","9.09994","144.944","1.37484","138.842","150.344","7.43577","0.0647828","7.27706","7.5523","8.59572","0.211699","7.58401","9.3234","146.368","8.5921","8.29","0.14","7.91","8.68","142.5","0.925997","-0.06","0.06","100","-10.3041","1.06"
"201510270640","9.26598","0.137895","8.81716","9.84471","9.03351","0.138514","8.52818","9.51559","8.38957","0.167786","7.82689","8.9122","145.338","1.44584","139.258","150.279","7.48113","0.0487171","7.36709","7.6078","8.61151","0.1974","7.78874","9.54562","146.837","8.60731","8.34","0.11","8.07","8.75","142.9","1.00923","0.03","0.06","100","-10.3328","1.06"
"201510270650","9.26952","0.135711","8.75765","9.71495","9.04666","0.14298","8.44154","9.51997","8.42227","0.176972","7.77168","9.01289","145.205","1.4979","139.731","150.746","7.56318","0.0342778","7.49984","7.65415","8.63046","0.207835","7.73701","9.64495","146.656","8.62642","8.34","0.12","8.01","8.71","142.7","1.03546","-0.04","0.05","100","-10.4287","1.06"
"201510270700","9.54324","0.18062","8.71356","10.1499","9.2826","0.176773","8.67066","9.84234","8.60404","0.194858","7.97937","9.21325","147.185","1.35752","140.775","152.063","7.56899","0.0472189","7.47867","7.66464","8.83121","0.224045","7.96907","9.58182","148.858","8.82807","8.53","0.14","7.95","8.86","144.7","0.929442","-0.05","0.07","100","-10.4814","1.06"
"201510270710","9.62257","0.153202","8.92716","10.0804","9.36034","0.163774","8.78449","9.85174","8.64716","0.190831","8.07195","9.19689","145.998","1.59913","140.238","151.876","7.61483","0.0353495","7.53418","7.68371","8.86609","0.236377","7.92228","9.6437","147.433","8.86136","8.56","0.14","8.23","8.89","143.6","1.26318","-0.02","0.07","100","-10.3777","1.07"
